 D lon lat flux5 flux8 X Y Z MirX MirY MirZ TI objid r delta alpha D_model D_true model eta etafit
34 1.0 6.764328157087851 50.1651712693986 6074.0 33997.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.993 1 NEATM 0.997 1
35 1.0 222.34877894731576 49.93336113277556 6058.0 33904.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.991 1 NEATM 0.996 1
36 1.0 220.3544601800717 -43.303938417836115 6026.0 33774.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.991 1 NEATM 0.998 1
37 1.0 222.0962388749125 -22.713635172138936 6169.0 34301.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.991 1 NEATM 0.987 1
38 1.0 339.7493082652647 15.76793433535002 5969.0 33572.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.991 1 NEATM 1.003 1
39 1.0 245.45530767725404 -40.892057563595934 6059.0 33856.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.989 1 NEATM 0.994 1
40 1.0 129.42284420656296 -23.246496140780025 6014.0 33733.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.991 1 NEATM 0.999 1
41 1.0 157.3315033677629 -54.530229566584865 6011.0 33721.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.991 1 NEATM 1.0 1
42 1.0 251.14723053381536 -7.225940923918671 6117.0 34084.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.99 1 NEATM 0.99 1
43 1.0 21.68116978653714 -81.96978577425946 6072.0 33850.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.987 1 NEATM 0.99 1
44 1.0 240.03601756044037 53.96325922271123 6117.0 34164.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.993 1 NEATM 0.994 1
45 1.0 241.4296330625374 -76.1478395424061 6060.0 33845.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.988 1 NEATM 0.993 1
46 1.0 75.73772198658273 3.3903267896746883 6045.0 33798.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.989 1 NEATM 0.995 1
47 1.0 46.41346715574719 -34.7741820818647 6040.0 33761.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.988 1 NEATM 0.994 1
48 1.0 113.5542063327062 13.957730789647584 6024.0 33968.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.999 1 NEATM 1.008 1
49 1.0 130.93587753934415 82.69800135001651 6064.0 33898.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.99 1 NEATM 0.994 1
50 1.0 205.27083735043664 26.20264400208069 5956.0 33418.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.986 1 NEATM 0.999 1
51 1.0 157.89654484643532 -83.63476156401164 6046.0 33809.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.989 1 NEATM 0.995 1
52 1.0 355.8145817013214 -12.527560888548976 5990.0 33425.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.981 1 NEATM 0.991 1
53 1.0 36.736131869290105 1.803033417285036 6081.0 33935.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.989 1 NEATM 0.992 1
54 1.0 75.19563219414049 6.511949046621353 6013.0 33677.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.989 1 NEATM 0.997 1
55 1.0 58.07142643859865 32.65065190869082 6146.0 34166.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.989 1 NEATM 0.986 1
56 1.0 235.11899716754343 -40.032702408282105 6162.0 34077.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.982 1 NEATM 0.978 1
57 1.0 91.18497691432157 -66.80509821606236 6138.0 34242.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.993 1 NEATM 0.992 1
58 1.0 167.87187822827028 -19.31837822152302 6035.0 33718.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.987 1 NEATM 0.993 1
59 1.0 87.99321312057698 82.1530301032708 6028.0 33769.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.99 1 NEATM 0.998 1
60 1.0 57.2290501123871 -56.31643948484795 6004.0 33603.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.987 1 NEATM 0.996 1
61 1.0 39.73505081914985 72.71711188708267 6044.0 33778.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.988 1 NEATM 0.994 1
62 1.0 236.2786522074984 7.885071013918747 6084.0 33845.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.984 1 NEATM 0.987 1
63 1.0 49.74586248550097 -7.755944103762147 6153.0 34251.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.991 1 NEATM 0.989 1
64 1.0 70.76965020481926 68.76745384138013 6096.0 33983.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.989 1 NEATM 0.99 1
65 1.0 132.74106143794708 -7.451286881654539 6087.0 34017.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.991 1 NEATM 0.994 1
66 1.0 295.55756274525663 40.350174590077785 6088.0 33998.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.99 1 NEATM 0.993 1
67 1.0 34.956459285502056 -18.17544209344163 6046.0 33783.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.988 1 NEATM 0.994 1
68 1.0 301.6601666995694 72.7279907221724 6136.0 34168.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.99 1 NEATM 0.989 1
69 1.0 34.59542684182671 34.20450363442093 6122.0 34182.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.993 1 NEATM 0.993 1
70 1.0 351.5254074048225 35.931969765093015 6018.0 33735.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.99 1 NEATM 0.998 1
71 1.0 168.71443259317255 -31.010327719718596 6024.0 33736.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.989 1 NEATM 0.997 1
72 1.0 351.6339917485214 46.22015569264005 6050.0 33795.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.988 1 NEATM 0.993 1
73 1.0 217.74438710821656 24.49098998048544 5989.0 33671.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.992 1 NEATM 1.003 1
74 1.0 266.1348885833886 -46.79635079165228 6034.0 33708.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.987 1 NEATM 0.993 1
75 1.0 14.107605211555445 -61.10301195265384 6104.0 34067.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.991 1 NEATM 0.992 1
76 1.0 101.81050652750744 53.35046541311971 6076.0 33832.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.985 1 NEATM 0.988 1
77 1.0 43.270762036740805 82.64998854634004 6098.0 34051.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.991 1 NEATM 0.993 1
78 1.0 106.61047110797216 -7.535011093192281 6126.0 34192.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.993 1 NEATM 0.993 1
79 1.0 42.74197882352786 16.377149758263286 6159.0 34267.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.991 1 NEATM 0.988 1
80 1.0 114.47394458183138 64.39007595483983 6080.0 33951.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.99 1 NEATM 0.993 1
81 1.0 149.13467802528118 -7.699778396305732 6009.0 33566.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.984 1 NEATM 0.993 1
82 1.0 23.09309868556237 81.3374058298925 6078.0 34035.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.994 1 NEATM 0.997 1
83 1.0 249.2899629732071 13.63520916807704 6113.0 34022.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.988 1 NEATM 0.988 1
84 1.0 203.97652351436705 57.738081726236686 6091.0 34028.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.991 1 NEATM 0.994 1
85 1.0 95.54021673820034 73.5918693142929 6050.0 33780.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.987 1 NEATM 0.993 1
86 1.0 188.36929924801188 56.7942873783424 6083.0 33967.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.99 1 NEATM 0.993 1
87 1.0 33.818583873039 -61.30539657918793 6076.0 33995.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.992 1 NEATM 0.996 1
88 1.0 207.34073840022455 23.201719031106062 6019.0 33724.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.99 1 NEATM 0.998 1
89 1.0 334.5466311274371 -18.28183344845813 6126.0 34001.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.985 1 NEATM 0.984 1
90 1.0 114.68482288247652 -78.71166863579778 6100.0 34034.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.99 1 NEATM 0.992 1
91 1.0 240.2677367869254 -13.674194659828444 6089.0 33991.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.99 1 NEATM 0.993 1
92 1.0 47.447230465581185 -43.436867959906614 6005.0 33638.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.988 1 NEATM 0.997 1
93 1.0 257.8777934826836 62.82689551713193 6054.0 34002.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.996 1 NEATM 1.002 1
94 1.0 104.1861934609924 -84.00516722159469 6067.0 33920.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.99 1 NEATM 0.995 1
95 1.0 65.94889032256206 82.61688993542523 6062.0 33873.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.989 1 NEATM 0.994 1
96 1.0 211.14465653162995 -26.033607275052667 6148.0 34364.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.997 1 NEATM 0.995 1
97 1.0 7.238716627497679 -25.792759727542276 6083.0 33913.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.988 1 NEATM 0.99 1
98 1.0 298.4184105182507 -87.06086951693258 6016.0 33757.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.991 1 NEATM 1.0 1
99 1.0 1.6903714293169436 -56.65818145748689 5945.0 33445.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.989 1 NEATM 1.003 1
